,dates,hour,Daikin.Energy,Pump.Energy,Resistance.Energy,Daikin.Power,Pump.Power,Resistance.Power,Daikin.Heat.Added,Pump.Power.30min,Daikin.Power.10min,City.Water.Temp,Recirc.Return.Temp,Water.HX.Outlet.Temp,Water.To.Fixtures.Temp,Water.To.TrimTank.Temp,Garage.Temp,Water.HX.Inlet.Temp,value,Recirc.Flow,HX.Loop.Flow,Garage.RH,timestep_sum,peak_volumes,peak_hours,peak_norm,site
28,2016-05-31,276,37777302.699999996,2802673.49,22854758.400000006,179.99999999847242,6649.999999999867,0.0,81059.70767864263,6648.333333333313,359.9999999969445,1025.878349206349,2743.550833333333,3100.651073446328,2799.2254999999996,3115.512666666667,1494.9833107344632,3063.144053672317,189.90699999999998,96.58148333333332,353.7988499999999,1434.9800000000002,24,48.43999999999998,7,0.2550722195601004,growA
29,2016-06-02,276,37778378.580000006,2821863.920000001,22854758.400000006,180.0000000002914,6660.0000000000855,0.0,71094.7766984173,6660.000000000081,360.0000000005826,843.9991687552214,2750.394833333329,3105.3405000000016,2803.6871666666652,3117.2944999999972,1536.5988333333332,3072.453333333333,181.01600000000005,96.1597166666667,353.6555833333335,1567.5983333333334,24,68.81600000000006,9,0.3801652892561985,growA
30,2016-06-03,276,37778913.58,2831454.3299999996,22854758.400000006,190.00000000050977,6659.999999999858,0.0,79528.3959267063,6652.333333333278,380.00000000101915,1248.756692640693,2752.245,3113.2844491525416,2805.9151666666644,3120.1366666666668,1557.7854999999997,3076.726357977791,198.96799999999996,95.85183333333332,353.7177166666666,1499.4293333333335,24,59.83999999999997,8,0.30075187969924805,growA
31,2016-06-04,276,37779414.72,2841002.66,22854758.400000006,170.0000000000731,6500.000000000004,0.0,76640.81327857866,6498.000000000002,350.0000000003641,1049.0254144385026,2751.510499999999,3089.1915790960456,2803.405000000003,3112.846833333333,1623.9089999999999,3045.4564943502855,196.724,95.59999999999998,342.13519999999994,1451.8568333333337,24,63.580000000000034,8,0.32319391634981004,growA
32,2016-06-07,276,37780701.84,2867884.1200000006,22854758.400000006,150.00000000145553,6269.999999999985,0.0,65712.1233152006,6260.999999999989,300.0000000029109,867.4015,2769.3004999999994,3060.7065225988686,2820.3403333333354,3102.9216666666657,1665.6393333333338,3002.749372881354,111.48300000000005,95.5505333333333,323.22383333333335,1217.2278333333336,24,38.925,7,0.349156373617502,growA
33,2016-06-08,276,37781124.14,2876637.2200000007,22854758.400000006,149.99999999963651,6069.999999999938,0.0,69314.58280380256,6071.666666666602,309.99999999949074,892.7532424242424,2762.5019999999977,3068.934802259887,2814.8943333333323,3112.639000000002,1615.7241666666666,2991.522720338983,143.62900000000005,95.4309333333333,306.06890000000004,1273.927,24,47.87200000000003,8,0.3333031630102557,growA
34,2016-06-09,276,37781608.919999994,2885775.5100000007,22854758.400000006,180.0000000002914,6299.999999999957,0.0,72460.44783050084,6309.000000000014,350.00000000036437,1028.3763015873017,2761.5338333333334,3096.8283418079113,2815.2800000000016,3117.058499999998,1550.3073333333332,3037.1983248587558,146.00200000000004,95.01393333333336,327.36383333333345,1277.7386666666669,24,49.51000000000002,8,0.33910494376789363,growA
35,2016-06-10,276,37782141.699999996,2894918.5400000005,22854758.400000006,189.99999999869067,6390.000000000102,0.0,73584.33357402489,6386.33333333337,379.99999999738117,995.7522222222221,2756.645333333333,3121.0576666666666,2811.1833333333325,3121.733833333333,1524.2073333333333,3069.2329293785324,175.76799999999997,95.13205,332.9846333333333,1386.1965,24,52.360000000000014,7,0.297892676710209,growA
36,2016-06-11,276,37782657.78,2903967.7,22854758.400000006,180.00000000029144,6420.000000000076,0.0,85109.1099964992,6420.333333333339,360.0000000005826,1111.1250542328041,2735.1400000000012,3084.036666666667,2790.0160000000005,3113.8111666666673,1547.2359067796613,3028.0702655367245,286.5389999999998,95.39773333333333,334.8057000000003,1382.8136666666664,24,99.53799999999995,9,0.34738028680214567,growA
37,2016-06-14,276,37784232.96,2931446.78,22854758.400000006,190.00000000050977,6480.000000000022,0.0,88935.32560558744,6483.666666666681,389.99999999941843,1154.2865355339102,2731.3319999999994,3095.138,2787.2998333333344,3116.863666666666,1508.6366666666668,3038.880850282487,270.018,95.63046666666668,339.62245000000013,1220.055,24,60.588,7,0.2243850409972669,growA
