,time stamp,date,hour,Resistance.Energy,Daikin.Leg1,HX.Loop.Pump,Daikin.Leg2,Heat.Trace.Leg1,Heat.Trace.Leg2,Daikin.Power,HX.Loop.Pump.Power,Resistance.Power,Heat.Trace.Power,Daikin.Heat.Added,Pump.Power.30min,Daikin.Power.10min,Water.HX.Inlet.Temp,Water.HX.Outlet.Temp,City.Water.Temp,Water.To.TrimTank.Temp,Water.To.Fixtures.Temp,Garage.Temp,HX.Loop.Flow,value,Garage.RH,dates,timestep_sum
386,2016-08-27 02:00:00,2016-08-27,2,221394.6,10181.65,663.6,9762.52,10102.01,32522.09,420.00000000001603,0.0,0.0,740.000000000009,74.8342431418523,0.0,401.999999999975,95.52533333333331,117.29066666666701,,98.4125,95.3906666666667,73.0015,0.0374,0.0,47.9801666666667,2016-08-27,1
387,2016-08-27 03:00:00,2016-08-27,3,221394.6,10193.66,663.6,9775.51,10124.99,32543.7,460.00000000003604,0.0,0.0,750.0,93.61136694021098,0.0,446.00000000003195,91.9451666666667,117.473333333333,,95.1551666666667,96.0641666666667,71.9185,0.0249333333333333,2.244,49.0453333333333,2016-08-27,1
388,2016-08-27 04:00:00,2016-08-27,4,221394.6,10206.64,663.6,9789.37,10147.95,32565.3,449.999999999932,0.0,0.0,740.000000000009,45.59897444314179,0.0,457.99999999998704,92.3181666666667,117.453833333333,,94.429,91.5648333333333,70.1966666666667,0.0374,0.748000000000002,49.7868333333333,2016-08-27,1
389,2016-08-27 05:00:00,2016-08-27,5,221394.6,10220.27,663.6,9803.87,10170.85,32586.9,460.00000000003604,0.0,0.0,740.000000000009,0.0,0.0,473.99999999999494,91.6446666666667,117.213333333333,,92.45983333333331,87.7203333333333,68.6093333333333,0.0374,1.495999999999998,56.374166666666696,2016-08-27,1
390,2016-08-27 06:00:00,2016-08-27,6,221416.45,10234.36,663.6,9818.77,10193.76,32608.5,449.99999999998903,0.0,370.000000000346,740.000000000009,93.9404694021102,0.0,478.999999999979,90.7426666666667,116.99616666666701,,90.98366666666669,87.3216666666667,67.9706666666667,0.0374,1.495999999999998,59.3678333333333,2016-08-27,1
391,2016-08-27 07:00:00,2016-08-27,7,221424.68,10264.56,665.54,9847.53,10216.71,32630.11,1750.0,99.9999999999997,339.999999999691,740.000000000009,4436.97767479484,97.3333333333329,1763.0000000000198,105.618333333333,122.073333333333,65.5,100.852333333333,115.79299999999999,66.7998333333333,2.90473333333333,5.983999999999998,62.3573333333333,2016-08-27,1
392,2016-08-27 08:00:00,2016-08-27,8,221477.89,10331.96,672.42,9907.97,10239.5,32651.66,1699.99999999999,60.0000000000005,740.000000000236,740.000000000009,4200.40785509965,71.3333333333337,1659.99999999999,83.7716666666667,118.95333333333299,61.0533333333333,116.75200000000001,127.976166666667,66.7505,2.0071333333333303,57.595999999999975,62.8495,2016-08-27,1
393,2016-08-27 09:00:00,2016-08-27,9,221543.07,10400.5,677.57,9966.62,10262.05,32672.81,3230.00000000002,149.999999999999,1839.9999999996899,730.000000000018,10658.2209137163,138.666666666666,3226.0000000000105,94.03299999999999,114.21600000000001,61.119591836734706,117.826333333333,126.75983333333299,66.8081666666667,4.23866666666667,56.84800000000002,63.3733333333333,2016-08-27,1
394,2016-08-27 10:00:00,2016-08-27,10,221608.98,10474.44,683.79,10030.75,10284.91,32694.34,850.0000000000231,30.0000000000011,350.000000000364,740.000000000009,1969.0565964829998,32.666666666667,890.000000000015,100.946,119.042666666667,61.7314285714286,111.194666666667,122.367833333333,68.0018333333333,1.0472,14.21200000000002,60.448,2016-08-27,1
395,2016-08-27 11:00:00,2016-08-27,11,221656.82,10515.11,686.56,10067.8,10307.81,32715.96,2569.99999999999,109.999999999999,1199.99999999982,740.000000000009,8786.88946494725,106.66666666666599,2544.99999999998,87.963,114.554833333333,61.6771794871795,115.826833333333,125.74700000000001,66.9711666666667,3.34106666666667,61.3360000000002,61.9958333333333,2016-08-27,1
