"date","hour","Resistance.Energy","Daikin.Leg1","HX.Loop.Pump","Daikin.Leg2","Heat.Trace.Leg1","Heat.Trace.Leg2","Daikin.Power","HX.Loop.Pump.Power","Resistance.Power","Heat.Trace.Power","Daikin.Heat.Added","Pump.Power.30min","Daikin.Power.10min","Water.HX.Inlet.Temp","Water.HX.Outlet.Temp","City.Water.Temp","Water.To.TrimTank.Temp","Water.To.Fixtures.Temp","Garage.Temp","HX.Loop.Flow","Total.Flow","Garage.RH"
2016-09-13,19,232092,25377.46,1853.08,23667.09,20038.22,41901.9,1680.00000000006,140.000000000001,0,779.999999999973,4299.1203101993,135,1665.00000000003,115.988333333333,123.042833333333,60.685,118.821833333333,119.0795,69.204,4.2636,0.286733333333333,42.1486666666667
2016-09-13,20,232092,25404.74,1857,23693.24,20062.14,41924.43,240.000000000009,0,0,769.999999999982,84.433064947245,4.9999999999996,265.999999999951,108.526166666667,119.406166666667,61.272,118.2975,118.648833333333,70.9591666666667,0.0249333333333333,0.249333333333333,41.8773333333333
2016-09-13,21,232092,25417.98,1857.4,23706.96,20086.14,41947.2,1009.99999999999,39.9999999999991,0,789.999999999964,1704.97015427902,45.0000000000008,1031.00000000004,72.1841666666667,115.810166666667,60.5041666666667,120.113333333333,119.503833333333,69.8031666666667,1.17186666666667,0.374,43.2471666666667
2016-09-13,22,232092,25470.99,1863.6,23753.97,20110.33,41969.98,1259.99999999999,100.000000000001,0,769.999999999982,3014.91323146621,94.9999999999998,1238,117.741333333333,123.073050847458,60.72,115.0545,116.648666666667,70.0233333333333,2.79253333333333,0.0872666666666667,41.7511666666667
2016-09-13,23,232092,25486.99,1865.4,23770.23,20134.26,41992.55,459.999999999923,0,0,779.999999999973,155.866582649472,0,427.99999999994,82.3703333333333,118.952833333333,60.8530769230769,117.479833333333,118.1095,70.1398333333333,0.0374,0.311666666666667,39.8788333333333
2016-09-14,0,232092,25500.17,1865.4,23783.88,20158.28,42015.23,470.000000000027,0,0,780.0000000002,0,0,474.000000000024,77.668,119.362833333333,62.06,111.0615,112.066333333333,69.4311666666667,0.0124666666666667,0.0249333333333333,39.8675
2016-09-14,1,232092,25512.14,1865.4,23796.5,20182.28,42037.82,350.000000000023,0,0,779.999999999973,0,0,354.000000000019,85.3333333333333,119.254166666667,,105.896333333333,105.936833333333,68.8961666666667,0.0124666666666667,0,40.6625
2016-09-14,2,232133.65,25523.77,1865.4,23808.76,20206.3,42060.49,450.000000000045,0,820.000000000164,769.999999999982,55.6914499413834,0,438,87.8835,119.123333333333,,104.163666666667,102.063166666667,68.32,0.0249333333333333,0,40.797
2016-09-14,3,232141.2,25537.41,1865.76,23822.75,20230.21,42083.02,879.999999999995,39.9999999999991,0,769.999999999982,1653.64845369285,42.6666666666669,909.000000000003,93.8423333333333,118.51,,102.0325,102.558,68.3408333333333,1.24666666666667,0.0124666666666667,41.4298333333333
2016-09-14,4,232141.2,25579.59,1872.45,23861.06,20253.91,42105.45,1169.99999999996,150.000000000002,0,769.999999999982,2107.53559906213,150,1150,120.999666666667,124.408833333333,,101.161,103.248,66.6191666666667,4.3758,0,44.2496666666667
2016-09-14,5,232145.81,25604.13,1881.45,23884.66,20277.54,42127.65,759.999999999991,149.999999999999,490.000000000236,759.999999999991,942.181302362549,150,837.000000000012,120.883275862069,122.666,64.132,101.976,103.453333333333,66.9426666666667,4.38826666666667,0.137133333333333,44.2768333333333
2016-09-14,6,232170.6,25674.37,1890.45,23944.66,20301.04,42149.83,2860.00000000001,149.999999999999,0,759.999999999991,8499.52816529895,150,2850.99999999995,106.049,120.037,60.6425,120.819333333333,123.453333333333,64.1625,4.38826666666667,0.9724,50.4403333333333
2016-09-14,7,232170.6,25739.46,1898.67,24001.64,20324.94,42172.47,1370,90.0000000000034,0,789.999999999964,2262.52457514654,87.3333333333351,1302.00000000004,107.547833333333,119.661,60.1829411764706,119.261666666667,120.863166666667,64.4356666666667,2.59306666666667,0.511133333333333,50.193
2016-09-14,8,232170.6,25781.5,1902.01,24039.78,20349.02,42195.17,2470.00000000003,89.9999999999999,0,779.999999999973,11343.0100030481,94.9999999999984,2501.99999999999,70.8823333333333,106.888333333333,59.4335294117647,121.536833333333,122.087666666667,63.6453333333333,2.805,1.99466666666667,54.8618333333333
2016-09-14,9,232170.6,25899.87,1910.4,24139.62,20372.97,42217.87,3769.99999999998,149.999999999999,0,780.0000000002,12640.1673566237,150,3775.99999999999,96.1893333333333,115.842333333333,59.3284210526316,119.365423728814,121.571333333333,63.5621666666667,4.38826666666667,0.748,56.3113333333333
2016-09-14,10,232170.6,25988,1919.4,24216.55,20396.97,42240.62,1750,150.000000000002,0,779.999999999745,4206.95891043376,150,1735,116.701833333333,123.45,60.2428571428571,117.550666666667,120.740833333333,65.5786666666667,4.38863333333333,0.248733333333333,55.0555
2016-09-14,11,232170.6,26036.07,1928.4,24261.06,20420.94,42263.32,1869.99999999989,149.999999999999,0,760.000000000218,4453.39623094959,150,1791.99999999996,115.484333333333,122.978166666667,60.7807692307692,119.067,121.575166666667,67.7841379310345,4.3758,0.386466666666667,49.666
2016-09-14,12,232170.6,26080.4,1937.36,24300.76,20444.82,42286,790.000000000077,149.999999999999,0,779.999999999973,796.263406565065,150,864.000000000033,120.8745,122.311,,116.593166666667,119.566666666667,68.8336666666667,4.38826666666667,0.124666666666667,46.5885
2016-09-14,13,232170.6,26103.48,1946.31,24323.42,20468.55,42308.49,659.999999999968,149.999999999999,0,779.999999999973,836.682580960519,147.666666666666,661.000000000013,121.975344827586,123.144833333333,,113.893166666667,118.318666666667,70.3081666666667,4.3758,0.0498666666666667,43.0766666666667
2016-09-14,14,232170.6,26130.63,1954.7,24349.83,20492.25,42330.97,900.000000000091,100.000000000001,0,759.999999999991,1248.77929167644,97.3333333333329,884.000000000049,119.638333333333,121.9545,61.2866666666667,119.065833333333,120.258,70.4911666666667,2.9546,0.211933333333333,42.2538333333333
2016-09-14,15,232170.6,26144.79,1956.6,24364.5,20516,42353.47,319.999999999936,0,0,779.999999999973,0,0,322.999999999934,94.8955,119.146833333333,,115.256666666667,118.2305,71.413,0.0124666666666667,0.0498666666666667,36.325
2016-09-14,16,232170.6,26155.05,1956.6,24375.83,20539.82,42375.97,319.999999999936,0,0,759.999999999991,0,0,321.99999999998,87.5888333333333,119.594,61.796,116.990833333333,118.524666666667,72.245,0.0124666666666667,0.1496,35.0863333333333
2016-09-14,17,232170.6,26167.05,1956.78,24388.59,20563.63,42398.57,730.000000000018,30.0000000000011,0,779.999999999973,977.288044079719,30.0000000000002,766.00000000002,76.751,116.961833333333,60.9192857142857,120.148,119.771333333333,72.39,0.772933333333333,0.536066666666667,35.7176666666667
2016-09-14,18,232170.6,26206.05,1960.02,24423.28,20587.73,42421.35,980.000000000018,30.0000000000011,0,789.999999999964,2485.7108947245,39.3333333333347,976.999999999998,98.1496666666667,121.6775,60.6478947368421,119.815666666667,119.235,72.6575,0.9724,0.498666666666667,37.078
