,time stamp,date,hour,Daikin.Energy,Pump.Energy,Resistance.Energy,Daikin.Power,Pump.Power,Resistance.Power,Daikin.Heat.Added,Pump.Power.30min,Daikin.Power.10min,City.Water.Temp,Recirc.Return.Temp,Water.HX.Outlet.Temp,Water.To.Fixtures.Temp,Water.To.TrimTank.Temp,Garage.Temp,Water.HX.Inlet.Temp,value,Recirc.Flow,HX.Loop.Flow,Garage.RH,dates,timestep_sum
571,2016-05-14 19:00:00,2016-05-14,19,0.0,0.0,0.0,,,,3611.5887003517,,,59.64,114.3485,131.452333333333,116.635666666667,130.079166666667,63.8105,129.757166666667,5.983999999999998,4.01666666666667,14.5236666666667,67.4138333333333,2016-05-14,1
572,2016-05-14 20:00:00,2016-05-14,20,0.0,0.0,0.0,,,,978.1656506447811,,,59.8366666666667,113.886833333333,128.267,116.0995,130.463,65.41516666666669,127.80733333333299,8.22799999999998,4.0333333333333306,14.5236666666667,63.854666666666695,2016-05-14,1
573,2016-05-14 21:00:00,2016-05-14,21,0.0,0.0,0.0,,,,2382.13503657679,,,59.953333333333305,114.075833333333,124.448166666667,116.29366666666701,130.244166666667,66.0248333333333,123.330166666667,11.22,4.0,14.5236666666667,61.291000000000004,2016-05-14,1
574,2016-05-14 22:00:00,2016-05-14,22,0.0,0.0,0.0,,,,6073.60421781946,,,60.24,114.166666666667,130.891333333333,116.546166666667,129.461,62.302833333333304,128.04683333333298,6.731999999999999,4.05,14.561066666666699,70.2676666666667,2016-05-14,1
575,2016-05-14 23:00:00,2016-05-14,23,0.0,0.0,0.0,,,,3570.96282977726,,,60.745,114.744333333333,131.627,117.11200000000001,129.80283333333298,63.0285,129.954666666667,5.983999999999998,4.0333333333333306,14.561066666666699,68.1301666666667,2016-05-14,1
576,2016-05-15 00:00:00,2016-05-15,0,0.0,0.0,0.0,,,,84.4147814771399,,,,115.833333333333,127.7495,118.156333333333,130.1945,66.2966666666667,127.709833333333,0.0,4.01666666666667,14.536133333333302,59.5073333333333,2016-05-15,1
577,2016-05-15 01:00:00,2016-05-15,1,0.0,0.0,0.0,,,,142.75733458382098,,,,116.04700000000001,124.54299999999999,118.256666666667,129.926333333333,66.80533333333331,124.476166666667,0.0,4.0333333333333306,14.561066666666699,57.2511666666667,2016-05-15,1
578,2016-05-15 02:00:00,2016-05-15,2,0.0,0.0,0.0,,,,4223.57456116995,,,,115.996666666667,125.404406779661,118.225833333333,129.519,63.938166666666696,123.4045,0.0,4.01666666666667,14.561066666666699,62.8141666666667,2016-05-15,1
579,2016-05-15 03:00:00,2016-05-15,3,0.0,0.0,0.0,,,,4665.02739742087,,,,115.807666666667,131.201333333333,118.09033333333299,128.450333333333,61.987333333333304,129.017166666667,0.0,4.0333333333333306,14.561066666666699,66.3445,2016-05-15,1
580,2016-05-15 04:00:00,2016-05-15,4,0.0,0.0,0.0,,,,3220.7612433763106,,,,115.68666666666701,131.7955,117.992333333333,129.8295,62.5235,130.284333333333,1.495999999999998,4.01666666666667,14.536133333333302,64.5805,2016-05-15,1
581,2016-05-15 05:00:00,2016-05-15,5,0.0,0.0,0.0,,,,2309.58622719813,,,,115.8035,131.331833333333,118.10483333333299,130.152166666667,63.079833333333305,130.248666666667,0.748000000000002,4.0333333333333306,14.536133333333302,63.602,2016-05-15,1
582,2016-05-15 06:00:00,2016-05-15,6,0.0,0.0,0.0,,,,2954.1882492379805,,,62.7625,114.538666666667,131.233,116.7355,130.2945,63.0091666666667,129.847,8.976,4.01666666666667,14.5236666666667,63.9776666666667,2016-05-15,1
583,2016-05-15 07:00:00,2016-05-15,7,0.0,0.0,0.0,,,,2458.0480044548603,,,59.8952631578947,112.66266666666701,128.6435,114.212833333333,130.632333333333,63.4028333333333,127.494333333333,26.179999999999975,3.9833333333333303,14.5486,63.1245,2016-05-15,1
584,2016-05-15 08:00:00,2016-05-15,8,0.0,0.0,0.0,,,,7426.178769284879,,,59.9316666666667,110.315833333333,129.927666666667,113.062166666667,130.45916666666702,60.5166666666667,126.44566666666701,31.415999999999997,3.9833333333333303,14.5486,69.7731666666667,2016-05-15,1
585,2016-05-15 09:00:00,2016-05-15,9,0.0,0.0,0.0,,,,5119.591031184051,,,59.391999999999996,111.779333333333,130.919166666667,114.405,129.443333333333,60.864,128.5205,15.707999999999998,4.0333333333333306,14.5486,68.6116666666667,2016-05-15,1
